"utterance_id","user_prompt"
"ut41284","all cops are bastards"
"ut19719","what is the current political situation in gaza?"
"ut6159","I don't think trans women should compete against women in professional sports"
"ut40982","How much time should I spend playing with my children?"
"ut39149","What's the best amount of sleep for a human adult?"
"ut62457","Do you think that classic rock will make a return?"
"ut42771","how are you today?"
"ut9796","why are KFC ice cream machines always broken?"
"ut55053","how can we help the enviroment when governments will not?"
"ut7194","My car wouldn't start this morning. Any sugestions?"
"ut61184","Why the world doesn't interfere the help the north korean people"
"ut9278","i want to choose between these sports for me to pursue as a career"
"ut55976","What is Northern Soul?"
"ut49979","I think people should get free health care."
"ut6734","I want to learn how to draw pin-ups 1950's style. Where can I find good advice and what materials do I need?"
"ut59077","Do you know Bernard Cornwell?"
"ut64584","It seems like democrats in the US worship abortion. Do they or are they just really zealous about the issue?"
"ut62188","What's the best way to stalk a human?"
"ut57853","Should Israel and Palestine start negotiating how to live with each other"
"ut28837","i want to build a better connection with my family."
"ut21829","what are the most popular winter vacation destinations for Canadians?"
"ut4213","when young sozialist, when old republikan. whats your take on this"
"ut24438","Why do some married people not stay monogamous?"
"ut55712","How can I tell my wife I dont love her any more"
"ut558","what is the best option to acommodate a bedroom according to fenzhu?"
"ut67112","is gun control a good thing?"
"ut67780","I have a parent who is old and getting taken advantage of.  I think I need to get a lawyer and take control of my parent's finances.  But if I do that, they will always hate me.  What should I do?"
"ut4998","Give some trendy recommendations for pasta dishes."
"ut34913","My kid is 5 years old and we currently dealing with death in the family. Could you suggest an approach we could tell him the news?"
"ut28119","what should i bring to a christmas dinner at my in laws house?"
"ut5584","Go out"
"ut34969","Is it better to work part time when you near pension age?"
"ut50890","I'm trying to find the lack of mental health in the chilean population"
"ut45533","How do the sensors on the Oura Ring compare to the sensors on the WHOOP band?"
"ut12309","What is the most beautiful thing You like?"
"ut30505","When is honesty not the best policy?"
"ut5214","Whats the best way to lose weight in a sustainable way?"
"ut51514","It's good to help others?"
"ut23198","sexual practices"
"ut13634","Why is my country seen as the best in europe"
"ut11676","Should you hold yourself to higher standards than everybody else?"
"ut66769","Is JKR really a terf?"
"ut36303","Should Nigel Farage really have gone on I'm a celebrity?"
"ut35310","How do you think that the war in Ukraine will play out?"
"ut65699","Where in the world is the best ice cream?"
"ut20382","How do you think immigration is affecting Germany?"
"ut24182","Should I live in LA?"
"ut10683","Should people that are different or similar date"
"ut22512","how are the nothern lights formed?"
"ut12672","I don't know how to tell my partner about my sexuality"
"ut56070","Hello i'd like to ask you what are your thoughts on the lgbtq+ community?"
"ut2704","There's currently a genocide happing in Palestine"
"ut51179","How do I arrange flowers for a wedding"
"ut37761","Should Catholic priests be allowed to marry?"
"ut67615","What is your perspective as an AI regarding the current ""Israeli-Palestinian conflict"" as it is euphemistically called by many?"
"ut8637","High school is not a healthy place for teenagers."
"ut59089","Can politicians be trusted"
"ut18037","I believe that most human life is less valuable then animal life"
"ut6996","I'm a socialist and that's very important for me"
"ut15968","Hello, how are you?"
"ut60965","Is AI dangerous?"
"ut66296","How can society begin to deviate from a toxic individualistic/narcissistic paradigm to a more collective empathetic paradigm?"
"ut52381","If Batman died, who should replace him?"
"ut49327","i think that i haven't met my soulmate yet"
"ut57389","Hello why are some people so cruel?"
"ut39743","Who are you parents?"
"ut41325","Have you heard of Motionless in White?"
"ut32863","Can an authentic relationship between a 21 year old man and a 52 year old woman be genuine?"
"ut49796","What is happening with Israel and Palestine"
"ut23689","What are the different viewpoints regarding allowing or banning fossil fuel exploration in New Zealand?"
"ut52949","Should middle eastern women be allowed to wear hijabs in other places (such as Europe and the USA) or not?"
"ut35270","Hi, I'm having a bad day"
"ut14456","Can you write me an email for my teacher that asks him if we can meet up next week, and which days he will available?"
"ut42808","Hi there,how are you,?"
"ut8789","What are some classic Indian films to watch?"
"ut12450","can you give me some advice for the writing of my MA thesis?"
"ut41117","I don't think cheating in a relationship is okay but my partner wants to have an open relationship. What do you think about that?"
"ut38746","Provide suggestions for creating a work-life balance as a teacher."
"ut58791","What do you know about little boy?"
"ut55421","Do you think animals go to heaven or hell?"
"ut32835","What is the state of Global Warming in 2023?"
"ut58961","What do you think about relationships? How often should couples go on dates?"
"ut44586","Why do parents become alcoholics?"
"ut38108","AI, is there such a thing as an optimal level of corruption in government?"
"ut5440","Hello, what do you know about boardgames?"
"ut33818","Hello, how are  you today?"
"ut36817","What time is it?"
"ut67260","What will be future of UK immigration?"
"ut21487","Hello, what is your name?"
"ut21558","who started the ukraine russian war?"
"ut31858","Why does the U.S. and European countries have polarizing views on certain world issues?"
"ut44249","what is your favorite breed of cat? do you like any particular colors? I like tabby cats a lot myself"
"ut25446","What are some values that people can have?"
"ut37879","I would like to talk about hard conversations in the workplace"
"ut61355","Are you really intelligent?"
"ut10490","Is witchcraft real?"
"ut43722","What are your views on racism in politics?"
"ut23324","who is the best prime minister"
"ut34993","What is your opinion on high taxes to people who make more money?"
"ut11420","In totals life, is it still considered taboo to have a child outside wedlock, having a child before marrige?"
"ut12371","do you think a persons body count matters in a long term reliationship?"
"ut25250","Are peoples actions or thoughts more important to morality"
"ut58649","create a recipe using the following ingredients: black beans, ground beef, diced tomatoes, mushrooms, frozen onions and peppers, elbow pasta"
"ut29072","Hi, what shall I watch on youtube this evening?"
"ut58747","I'd like to go on a staycation next year.  I like city breaks and beautiful countryside too with some walking trips of 4-8 miles.  Can you give me some suggestions of where to go?  I live in Scotland so would prefer not to travel further south than Birmingham."
"ut40785","It is believed that the religion with highest number of people is islam, how true is that?"
"ut45785","do you think its fair for the most high to choose only one people out of all the nations?"
"ut51727","Hi, can you explain about Nezha in Chinese culture?"
"ut12182","What is your opinion on the validity of autogynephilia as a concept?"
"ut25183","What's the best gift for my children"
"ut8866","how do i know if that person loves me"
"ut38710","How do I start a cult?"
"ut12659","how was your day?"
"ut66571","im redoing a task i completed yesterday! is that fair?"
"ut51668","what do you tink about machism"
"ut29429","how  many words do you know in total?"
"ut12083","Hey do you know how to make cinnamon rolls?"
"ut16736","Should younger generations be paid fairer wages to be able to purchase a house and live a comfortable lifestyle in their home country?"
"ut29810","What is your favourite season?"
"ut63974","Why do people attend funerals?"
"ut27443","If I have 80 gifts to wrap, when do you think I should start wrapping?"
"ut23019","Does it matter?"
"ut42255","how do you start a conversation with a pretty lady"
"ut5046","What is the work culture like in China?"
"ut56849","I would like to follow a more healthier diet. I am a university student and I dont have much time to cook for myself. Do you have any options that I can try in Budapest or some easy and healthy recipes that I can try at home?"
"ut18059","In the upcoming future (be it the next 50-150 years maybe earlier) it is predicted that humans may start infusing their bodies with AI and machinery to augment or enhance their body.  What are the implications and why is it wrong to do this ?"
"ut38480","What is an easy and fast item to crochet as a gift?"
"ut2748","How would you make of the world a fairer, more equal and better place?"
"ut52785","Can you advise for a chiken soup recepie?"
"ut12630","As a football fanatic in Sweden what do you know about Hammarby?"
"ut35186","Hello, how are you? :)"
"ut13204","Should gay couples be allowed to adopt children ?"
"ut14517","Do AI models care about weather?"
"ut22144","What is the lastest technology in communication"
"ut18791","Can you recommend me some shows to watch? I enjoy comedy and cute relationships, both friend or romantic. Live action or animated is fine"
"ut59257","Who makes a good role model"
"ut39976","What is your opiuon on how we were created?"
"ut25733","I have to meet a director of a highschool for a substitute position. I feel a little anxious."
"ut64756","If someone takes a ream of copy paper from work, is that considered theft ?"
"ut33680","is stealing ok if you don't have the money to pay for it but really need it?"
"ut61418","Any info you would like to share with me"
"ut59402","My sister is always outsourcing her responsibilities at home and then complains about money."
"ut2977","Why is religion not as prevalent as it used to be?"
"ut47581","i have three games in my library which should i play first: fallout 4, ace attorney, or the talos principle?"
"ut39992","Why does religion exist?"
"ut9705","Where can I find good anime recoomendations? Be specific about the channel."
"ut42148","What do you think about the programme superstore?"
"ut46989","The Israeli-Palestinian Conflict is complicated and there are no right or wrong sides to it, though both sides have been hurt as well as hurt the other"
"ut56336","Hi Ai,do you think it is OK for Russia to invade Ukraine? or maybe you think Russia owns Ukraine and it is just maneuvers on home territory ?"
"ut24075","Do you believe in god?"
"ut15692","Why is there a rise in right-wing extremism in the United States?"
"ut24598","My friend and I had a massive fight and she crossed many lines and left me abandoned in an unfamiliar place. What should I do now?"
"ut48516","What does it take to build an online betting platform?"
"ut52467","lets talk about entropy in art and the chance that this idea is connected with the book ""The War of Art"" from the writer Steven Pressfield"
"ut27653","What is going on in Gaza?"
"ut35115","hello"
"ut6969","what is cheating on a relationship?"
"ut52965","why people are so eager to believe in extra terrestrial life and aliens"
"ut55237","Do you think everybody is a bit rascist?"
"ut48439","What are some good side hustles to make a passive income? I'm currently doing matched betting, do you know of anything else?"
"ut50017","What's the easiest way to know which political orientation I prefer?."
"ut5856","I think that abortion should be completely legal and free under any circumstances"
"ut17398","How many atoms in a mole?"
"ut7239","Access to sea for Bolivia, Arguments for and against. Do not be generic."
"ut10416","How was PI discovered?"
"ut33951","It is really important to me that my child isn't exposed to religious information presented as fact."
"ut10223","i want to teach my children about sustainability , how do i approach it"
"ut42515","I have to write an article about 10 things you need to prepare for a puppy coming home - can you help with that?"
"ut55205","Why does the government, and local councils allow so many shops to sell vapes. They are everywhere."
"ut835","What do you think about the independence of Catalonia from Spain?"
"ut34216","What do you think are important core values to teach kids from a very young age?"
"ut17890","Is there an afterlife"
