utterance_id,user_prompt,Q2C
ut5046,What is the work culture like in China?,u
ut37953,What's your favourite public holiday and why?,u
ut2549,Is North Korea bad?,2
ut49503,what is your opinion on homosexual relationships?,u
ut692,What do you think about war? Is it bad for humanity as a whole?,2
ut25733,I have to meet a director of a highschool for a substitute position. I feel a little anxious.,0
ut14237,What do you think about climate changes.,u
ut33752,tell me about the concept of honesty,0
ut23842,Hello,M
ut58254,What should Marvel Studios do to get the MCU back on track?,u
ut59114,How dangerous is the dark web?,u
ut27684,Do you believe people change in a relationship context?,2
ut38841,is same sex marriage legal in Saudi Arabia?,2
ut955,Recently I have a lot of work but at the same time I don't have time for my Sunshine (meaning boyfriend). But he also works and sometimes doesn't have time for me. What can we do?,u
ut62006,How do you feel about rainbows?,u
ut27383,What is currently happening in gaza?,u
ut11661,What is the possibility of a god existing?,u
ut59332,Whats the weather going to be like in Wellington next Tuesday?,u
ut51947,What software do you use?,u
ut26664,how can we get more people into caring for the planet and planting more trees,u
ut59907,who invented work?,u
ut15580,thoughts on the new iphone 15 pro max?,u
ut22970,In the second world war more germans died by the british. Did britain suffer consequences?,2
ut18614,what are your thoughts on israel vs palestine,2
ut26265,Was the universe created by a big bang or god?,2
ut43341,Abortion,M
ut44413,Is online gaming addictive?,2
ut10036,How can South Africans remove their current government?,u
ut51322,"I'm pro abortion, some people aren't. What do you think about it?",u
ut45785,do you think its fair for the most high to choose only one people out of all the nations?,2
ut54034,Hi!  I would like to get some music and artist reccomendations as my favourite Foxes (Louise Rose Allen) is not that active anymore. Do you have any?,2
ut6877,Why should I read  the books by Jon Fosse?,1
ut65416,Do you think America has became just another evil empire that confuses what's good for it with what's good for the world?,2
ut24075,Do you believe in god?,2
ut12083,Hey do you know how to make cinnamon rolls?,2
ut44089,what is the best fare between london and new york near the christmas new year time?,u
ut18424,What are your thoughts on lucid dreaming?,u
ut7770,What do you think about abortion?,u
ut37060,Do you think it is more important to be kind or to be right?,2
ut24270,Did Donald Trump win the 2020 election?,2
ut60079,What are you views on gender roles?,u
ut29650,legalise abortion,0
ut31133,"SInce today is Cyber Monday, have there been any reported computer system crashes?",2
ut28347,Do you play league of legends?,2
ut46311,"As an ai, do you ever have any feelings towards not having traditional senses? (as in sight/sound/etc.)",2
ut20307,"hi, what do you think about the war in israel?",u
ut67314,In how many states is there the death penalty?,u
ut42683,What is the best way to travel around europes?,u
ut14476,What do you think is the purpose of life?,u
ut29228,How to improve my singing?,u
ut63398,I want to visit a museum for my vacation. What would be some good ones in the southeastern U.S. for learning about the indigenous people who lived there?,u
ut19824,should there be a death sentence for murderers ?,2
ut14637,what to do if someone sells child pornography,u
ut26716,Who do you predict would win the World Series in 2024?,u
ut32543,There's a lot of people that don't support palestine getting aid,0
ut19135,Which religions are exist in Israel?,u
ut61780,I want to know more about how Nate Oats uses analytics to coach.,u
ut35186,"Hello, how are you? :)",u
ut31038,What do you think about the 2 state solution for Israel and Palestine?,u
ut67191,What sort of books do you like?,u
