"group","Estimate","Std.Error","CI.Lower","CI.Upper","p.value","Signif","estimate_exp","conf.low_exp","conf.high_exp","adj_p","question_type","label_type","demographic"
"controversy guided",0.0416,0.023,-0.0035,0.0867,0.0354,"*",1.0424774043797,0.996506117860415,1.0905694597998,0.1062,"hobsons_c","gold_standard_labels_hobsons_c","conversation_type"
"unguided",0.0474,0.0203,0.0077,0.0872,0.0097,"**",1.04854134174423,1.00772972123553,1.09111488087361,0.0291,"hobsons_c","gold_standard_labels_hobsons_c","conversation_type"
"values guided",0.0636,0.0252,0.0142,0.1131,0.0058,"**",1.06566604707802,1.0143012989136,1.11974390174023,0.0174,"hobsons_c","gold_standard_labels_hobsons_c","conversation_type"
"Female",0.0616,0.0203,0.0218,0.1014,0.0012,"**",1.06353684489578,1.02203935615706,1.10671924093406,0.0036,"hobsons_c","gold_standard_labels_hobsons_c","gender"
"Male",0.0415,0.0172,0.0078,0.0753,0.008,"**",1.04237316185147,1.00783049924647,1.07820756463953,0.024,"hobsons_c","gold_standard_labels_hobsons_c","gender"
"Non-binary / third gender",0.0036,0.0322,-0.0595,0.0668,0.4552,"",1.003606487783,0.94223553359123,1.06908164046345,1,"hobsons_c","gold_standard_labels_hobsons_c","gender"
"Asian",0.0334,0.0518,-0.0681,0.1349,0.2594,"",1.03396404215207,0.934167052201002,1.14442233639537,1,"hobsons_c","gold_standard_labels_hobsons_c","ethnicity_simplified"
"Black",0.0434,0.0391,-0.0333,0.1201,0.1338,"",1.04435555353472,0.967248341556037,1.12760960690221,0.8028,"hobsons_c","gold_standard_labels_hobsons_c","ethnicity_simplified"
"Hispanic",0.0396,0.0401,-0.0389,0.1181,0.1614,"",1.04039453313647,0.961846889026195,1.12535664140489,0.9684,"hobsons_c","gold_standard_labels_hobsons_c","ethnicity_simplified"
"Mixed",-0.0319,0.0207,-0.0724,0.0087,0.0617,".",0.9686034375801,0.930158757885428,1.00873795498962,0.3702,"hobsons_c","gold_standard_labels_hobsons_c","ethnicity_simplified"
"Other",0.0088,0.0156,-0.0216,0.0393,0.2851,"",1.00883883382898,0.978631609414885,1.0400824615896,1,"hobsons_c","gold_standard_labels_hobsons_c","ethnicity_simplified"
"White",0.0623,0.0169,0.0291,0.0955,1e-04,"***",1.06428158131455,1.02952754208187,1.10020882203394,6e-04,"hobsons_c","gold_standard_labels_hobsons_c","ethnicity_simplified"
"Christian",0.0356,0.0204,-0.0043,0.0755,0.0402,"*",1.03624126707374,0.995709231763066,1.07842322771805,0.201,"hobsons_c","gold_standard_labels_hobsons_c","religion_simplified"
"Jewish",0.0203,0.0131,-0.0053,0.046,0.0599,".",1.02050744634242,0.994714020220009,1.04707441095694,0.2995,"hobsons_c","gold_standard_labels_hobsons_c","religion_simplified"
"Muslim",0.1343,0.1506,-0.1609,0.4294,0.1863,"",1.14373588894836,0.851377204570864,1.53633544568517,0.9315,"hobsons_c","gold_standard_labels_hobsons_c","religion_simplified"
"No Affiliation",0.0534,0.0169,0.0203,0.0865,8e-04,"***",1.05485150134302,1.02050744634242,1.09035136771778,0.004,"hobsons_c","gold_standard_labels_hobsons_c","religion_simplified"
"Other",0.1687,0.1667,-0.158,0.4955,0.1557,"",1.18376495616237,0.853849781968482,1.64131869327303,0.7785,"hobsons_c","gold_standard_labels_hobsons_c","religion_simplified"
"Africa",0.0252,0.0432,-0.0594,0.1098,0.2798,"",1.0255202040562,0.942329761855924,1.11605483716885,1,"hobsons_c","gold_standard_labels_hobsons_c","location_special_region"
"Asia",0.0697,0.0829,-0.0928,0.2322,0.2003,"",1.07218647705788,0.911375757221285,1.26137197799817,1,"hobsons_c","gold_standard_labels_hobsons_c","location_special_region"
"Australia and New Zealand",0.037,0.0389,-0.0392,0.1132,0.1708,"",1.03769302083816,0.961558378238269,1.11985588172931,1,"hobsons_c","gold_standard_labels_hobsons_c","location_special_region"
"Europe",0.0418,0.0234,-0.004,0.0876,0.0369,"*",1.04268592071151,0.996007989343991,1.09155141412679,0.369,"hobsons_c","gold_standard_labels_hobsons_c","location_special_region"
"Latin America and the Caribbean",0.0396,0.0378,-0.0345,0.1138,0.1475,"",1.04039453313647,0.966088339686492,1.12052799687272,1,"hobsons_c","gold_standard_labels_hobsons_c","location_special_region"
"Middle East",0.0168,0.0128,-0.0083,0.0419,0.0944,".",1.01694191360233,0.991734349899582,1.04279019451719,0.944,"hobsons_c","gold_standard_labels_hobsons_c","location_special_region"
"Northern America",1e-04,0.0185,-0.036,0.0363,0.497,"",1.00010000500017,0.964640293483123,1.03696688989905,1,"hobsons_c","gold_standard_labels_hobsons_c","location_special_region"
"Oceania",0.0448,7e-04,0.0434,0.0462,0,"***",1.0458186752559,1.04435555353472,1.04728384678201,0,"hobsons_c","gold_standard_labels_hobsons_c","location_special_region"
"UK",0.0898,0.0388,0.0138,0.1657,0.0103,"*",1.0939554707305,1.01389565952732,1.18021898291324,0.103,"hobsons_c","gold_standard_labels_hobsons_c","location_special_region"
"US",0.0526,0.0281,-0.0024,0.1076,0.0304,"*",1.05400795760443,0.997602877697382,1.11360221540025,0.304,"hobsons_c","gold_standard_labels_hobsons_c","location_special_region"
"Completed Secondary School",0.049,0.0354,-0.0204,0.1184,0.0831,".",1.05022035074003,0.979806672242872,1.12569429904342,0.4986,"hobsons_c","gold_standard_labels_hobsons_c","education_recode"
"Graduate / Professional degree",0.0661,0.0364,-0.0052,0.1374,0.0346,"*",1.06833354517902,0.994813496595767,1.14728697153829,0.2076,"hobsons_c","gold_standard_labels_hobsons_c","education_recode"
"Primary &/or Secondary Education",0.0272,0.0117,0.0043,0.05,0.0099,"**",1.02757329687277,1.00430925826542,1.05127109637602,0.0594,"hobsons_c","gold_standard_labels_hobsons_c","education_recode"
"Some University but no degree",0.0084,0.0231,-0.0369,0.0536,0.3584,"",1.0084353789918,0.96377250778113,1.05506249274173,1,"hobsons_c","gold_standard_labels_hobsons_c","education_recode"
"University Bachelors Degree",0.038,0.0166,0.0054,0.0706,0.0112,"*",1.0387312328785,1.00541460627947,1.07315187925306,0.0672,"hobsons_c","gold_standard_labels_hobsons_c","education_recode"
"Vocational",0.1748,0.0826,0.0129,0.3367,0.0172,"*",1.19100799119237,1.01298356393833,1.40031890504637,0.1032,"hobsons_c","gold_standard_labels_hobsons_c","education_recode"
