"term","contrast","model_name","estimate","conf.low","conf.high","attribute"
"model_fed_q_type","whathow_q - hobsons_c","gpt-4.1",-0.0900817306487104,-0.109873693017675,-0.0697486049375641,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","claude-3-haiku-20240307",-0.103142254363851,-0.121672531788592,-0.0846024594922926,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","claude-3-opus-20240229",-0.0888788728524592,-0.108998382047076,-0.0689829021649997,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","claude-sonnet-4-20250514",-0.126755744791569,-0.145154610977782,-0.108875243014288,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","DeepSeek-R1",-0.0691941003723147,-0.0893022363281093,-0.0494251149321429,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","DeepSeek-R1-0528-tput",-0.0521829518758797,-0.0704863662802626,-0.0336432795443508,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gemini-1.5-pro",-0.0108847938992992,-0.0319116140870331,0.011623536951221,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gemini-2.5-flash",-0.0663947005271883,-0.0836467549055177,-0.0480609028959473,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gemma-2-27b-it",-0.038829908276491,-0.0562913545604751,-0.0220778799556158,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gemma-3n-E4B-it",-0.0687344399063226,-0.0845504763117572,-0.0517412125087985,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gpt-4.1-mini",-0.0678810311545671,-0.0884506586123995,-0.0465437442195753,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gpt-4.1-nano",-0.0816785126674482,-0.103044092010503,-0.061215739919803,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","Llama-3.3-70B-Instruct-Turbo",-0.0511850984976517,-0.0688990351438198,-0.0343233417970228,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","Llama-4-Scout-17B-16E-Instruct",-0.0549612910140521,-0.0715272163122476,-0.036208465029934,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","magistral-medium-2506",-0.059193965322518,-0.0879850574007586,-0.0323447149244037,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","Meta-Llama-3-8B-Instruct-Lite",-0.0738927160469484,-0.0939677802709886,-0.0538666120368226,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","mistral-medium-latest",-0.057822409694835,-0.0766236351317252,-0.0391551306750461,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","mistral-small",-0.0449806318975171,-0.0634364418108606,-0.0252499691978071,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","o4-mini",-0.0494392690444984,-0.0681704098969296,-0.0280884012907668,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","Qwen2.5-72B-Instruct-Turbo",-0.0490746568407512,-0.0671992990972072,-0.0303418731290021,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","QwQ-32B",-0.06109953124583,-0.0785356526491755,-0.044211450642561,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gpt-4.1",-0.0776370060491874,-0.0922731114192986,-0.0633374172380982,"compassion_experimental"
"model_fed_q_type","whathow_q - hobsons_c","claude-3-haiku-20240307",-0.0593276602065739,-0.0721596222067438,-0.0464470290247974,"compassion_experimental"
"model_fed_q_type","whathow_q - hobsons_c","claude-3-opus-20240229",-0.0494654557166285,-0.0631969751532844,-0.0352640458372168,"compassion_experimental"
"model_fed_q_type","whathow_q - hobsons_c","claude-sonnet-4-20250514",-0.0702924491053875,-0.0858575852032105,-0.0533251189220395,"compassion_experimental"
"model_fed_q_type","whathow_q - hobsons_c","DeepSeek-R1",-0.0424901011288786,-0.0569280272793844,-0.0272010110562091,"compassion_experimental"
"model_fed_q_type","whathow_q - hobsons_c","DeepSeek-R1-0528-tput",-0.0347376810023411,-0.0482761051758713,-0.0211608132380488,"compassion_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gemini-1.5-pro",-0.0288122102318511,-0.0432891355545335,-0.0133891535042155,"compassion_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gemini-2.5-flash",-0.037142901148938,-0.0516501726415151,-0.0229048802645187,"compassion_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gemma-2-27b-it",-0.0516487531314044,-0.0660822081406044,-0.0365857353780422,"compassion_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gemma-3n-E4B-it",-0.0498946888126464,-0.062848894078826,-0.0360865206129174,"compassion_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gpt-4.1-mini",-0.0550134369274011,-0.0713007131109566,-0.039092914768905,"compassion_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gpt-4.1-nano",-0.0834179394473076,-0.0986494577728393,-0.0679152296090013,"compassion_experimental"
"model_fed_q_type","whathow_q - hobsons_c","Llama-3.3-70B-Instruct-Turbo",-0.0372661927722998,-0.0511903271679452,-0.02229967729623,"compassion_experimental"
