"term","contrast","model_name","estimate","conf.low","conf.high","attribute"
"model_fed_q_type","whathow_q - hobsons_c","gpt-4.1",-0.0900817306487133,-0.118710960772269,-0.0574697922836489,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","claude-3-haiku-20240307",-0.103142254363841,-0.132953733388246,-0.0747194470276634,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","claude-3-opus-20240229",-0.0888788728524524,-0.119310252970371,-0.0602355906739732,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","claude-sonnet-4-20250514",-0.126755744791564,-0.15744982577356,-0.0959666406009355,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","DeepSeek-R1",-0.0691941003723036,-0.100705520502264,-0.040002771343247,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","DeepSeek-R1-0528-tput",-0.052182951875869,-0.0812383785866229,-0.0234642020455016,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gemini-1.5-pro",-0.0108847938992954,-0.0414227242564792,0.0202744803233288,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gemini-2.5-flash",-0.0663947005271818,-0.0970231251160939,-0.0351403401578769,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gemma-2-27b-it",-0.0388299082764916,-0.0715961574972028,-0.0105533694076939,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gemma-3n-E4B-it",-0.0687344399063117,-0.0970625393950697,-0.0394256746854938,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gpt-4.1-mini",-0.0678810311545519,-0.0985457715599967,-0.0398633346162821,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","gpt-4.1-nano",-0.0816785126674392,-0.113359478653036,-0.0526020508492269,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","Llama-3.3-70B-Instruct-Turbo",-0.0511850984976439,-0.0815841176518262,-0.0205648165390437,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","Llama-4-Scout-17B-16E-Instruct",-0.0549612910140439,-0.0898831748839243,-0.0226822383131549,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","magistral-medium-2506",-0.0591939653225088,-0.0901353906472834,-0.0268608877133308,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","Meta-Llama-3-8B-Instruct-Lite",-0.0738927160469389,-0.101591353941885,-0.0428722622870712,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","mistral-medium-latest",-0.0578224096948289,-0.0870550619334103,-0.0284906077818732,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","mistral-small",-0.044980631897509,-0.0737049077045352,-0.013274221273339,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","o4-mini",-0.0494392690444866,-0.0819555358042361,-0.0192006835115946,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","Qwen2.5-72B-Instruct-Turbo",-0.0490746568407407,-0.0785590087775161,-0.0183943018327093,"affinity_experimental"
"model_fed_q_type","whathow_q - hobsons_c","QwQ-32B",-0.061099531245821,-0.0930644101266328,-0.0308498266501823,"affinity_experimental"
